ModelID	is_rms	NAMPT	RPL5
ACH-000472	0	-0.10615745258400411	-2.497558630278823
ACH-000473	0	-0.26171258390743296	-2.400676007852229
ACH-000475	0	-0.06271910405920134	-2.3244177225309133
ACH-000476	0	-0.28830861821627407	-2.881441722991703
ACH-000477	0	-0.3174569842050138	-2.471909039654999
ACH-000478	0	-0.05648090351014223	-2.5887544520009276
ACH-000479	0	-0.32497417447260113	-2.685308842535947
ACH-000480	0	-0.07571765674036973	-2.1944407533547805
ACH-000481	0	-0.12106257750056515	-2.3455235180551135
ACH-000483	0	-0.22299333354631956	-2.766337586556457
ACH-000484	0	-0.037622933180273155	-2.7914921392328282
ACH-000485	0	-0.2075124829984273	-2.784242128499419
ACH-000486	0	-0.01792739791010789	-3.121865612674379
ACH-000487	0	-0.8333780856104973	-2.425617209288967
ACH-000488	0	-0.143033437079572	-2.7605985425898303
ACH-000489	0	-0.7087219359250838	-1.9044064907569875
ACH-000490	0	-0.0442209408506426	-2.410389810665511
ACH-000491	0	-1.013489288899362	-2.4133366242711176
ACH-000493	0	-0.1247235205271689	-2.2946217903771724
ACH-000495	0	-0.15855505894565847	-2.3698788246124525
ACH-000496	0	-0.3067310269405966	-2.5428868080828617
ACH-000498	0	-0.43120674699839606	-2.922864781988732
ACH-000499	0	0.0486960779213344	-2.5360348823612076
ACH-000500	0	-0.6295305320811034	-2.8963317102169213
ACH-000501	0	-0.40750491221246243	-2.331863351687545
ACH-000502	0	-0.6895669561804825	-2.927116324779374
ACH-000503	0	-0.18824201809261118	-2.9026775161160976
ACH-000504	0	-0.07928345351481214	-2.68475595808054
ACH-000505	0	-0.17283851742583056	-2.552258609330436
ACH-000507	0	-0.7520636617399137	-2.477764884009724
ACH-000510	0	-0.11438673458142162	-2.583437375332017
ACH-000511	0	-0.19690546464150793	-3.0659230455071578
ACH-000512	0	-0.4037548220361529	-2.091887457708553
ACH-000514	0	-0.7344283095336551	-2.3041488314534786
ACH-000515	0	-0.6846239099433856	-3.139731739184493
ACH-000516	0	-0.1556953629987577	-2.9353015001871015
ACH-000517	0	-0.26656466767655174	-2.844958780935001
ACH-000518	0	-0.16364801084388925	-2.8589414200853627
ACH-000519	0	-0.5555729831164188	-2.789358171398959
ACH-000520	0	-0.31248459264234973	-2.5507691678939888
ACH-000521	0	-0.25515062777970066	-2.4470204278005436
ACH-000522	0	-0.04233559643463325	-2.4294680475882866
ACH-000524	0	-0.31532533581974137	-2.515604546899657
ACH-000525	0	-0.4196874552302944	-2.7523061997173466
ACH-000527	0	-0.2863004338072899	-2.057650258399222
ACH-000528	0	-0.17067083568033342	-2.3962344321596407
ACH-000532	0	-0.6166457949397226	-2.1142139591038926
ACH-000533	0	-0.36427807654269856	-2.2685558767572807
ACH-000535	0	-0.1573610917424449	-2.944402024924642
ACH-000537	0	-0.3055126742512376	-3.2264800539510787
ACH-000541	0	-0.7538342935035678	-2.3960296478777012
ACH-000542	0	-0.11831107767758348	-2.3337451611576814
ACH-000544	0	-0.1371661763438461	-2.0594212590006986
ACH-000545	0	-0.185793258093901	-2.9499784653237446
ACH-000546	0	-0.32268203334808043	-3.7515787614397516
ACH-000547	0	-0.1945850215703925	-2.591067645372101
ACH-000548	0	-0.3325054433914753	-2.400355137139617
ACH-000549	0	-0.20506622628600324	-2.9509396198633375
ACH-000550	0	0.001593849454712637	-2.1666579565358814
ACH-000551	0	-0.6897851896044357	-2.357821932600478
ACH-000552	0	-0.2832301805584899	-2.5178964025000488
ACH-000554	0	-1.1665332044232892	-1.2775638054291782
ACH-000556	0	-1.431765134983407	-2.9072552856858302
ACH-000557	0	-0.996842136018983	-2.4012953314284617
ACH-000558	0	-0.21282215560371728	-2.223836217721204
ACH-000559	0	-0.31745922339947835	-2.150875818618956
ACH-000561	0	0.1478946929010544	-3.3147060007739566
ACH-000562	0	-1.1816283890122925	-2.313208092651528
ACH-000563	0	-0.7382296936358073	-3.153820173921001
ACH-000565	0	-1.0857171386122038	-2.6864795898401748
ACH-000567	0	-1.1040240672341923	-2.728405279909043
ACH-000569	0	-0.308147222749249	-2.8699183629189844
ACH-000570	0	-0.14597219814456475	-2.8082448286446002
ACH-000571	0	-0.012530841949272842	-2.6178650462675943
ACH-000573	0	-0.2371841569177984	-2.1858364898782576
ACH-000576	0	-0.9859486878867668	-3.021832332762969
ACH-000577	0	-0.047095519778641015	-2.789310519664579
ACH-000579	0	-0.29712273214171825	-2.44631270475726
ACH-000580	0	-0.3150258635947666	-2.4619831965411736
ACH-000581	0	-2.349336921683298	-2.6286921548718585
ACH-000583	0	-1.6740674878110595	-3.1874705257928357
ACH-000584	0	-0.8158016394194787	-1.927269568686964
ACH-000585	0	-0.07327733748664111	-2.1033777390712265
ACH-000587	0	-0.0746344468842306	-2.5697001704418225
ACH-000588	0	-0.9165949095387773	-2.23284724802335
ACH-000589	0	-0.08761194820869006	-2.718137739177569
ACH-000591	0	-0.11658574015088946	-2.732491839576275
ACH-000592	0	-0.3296633216012521	-2.3446945796835594
ACH-000593	0	-0.29100429968787866	-2.6009313085691654
ACH-000595	0	-0.10345951342535137	-2.369182051785163
ACH-000596	0	-0.12443733117094169	-2.2988258596337237
ACH-000597	0	-0.32743418347884423	-2.32562721198155
ACH-000599	0	-1.7493332419463368	-2.9789396509683375
ACH-000601	0	-0.4175014297177736	-2.861550701621603
ACH-000602	0	-1.0390978559761628	-2.232095695115606
ACH-000604	0	-0.6219044457226858	-2.1621819286272155
ACH-000605	0	-0.365686237251246	-2.985686330893069
ACH-000606	0	-0.25601631318165363	-2.4684133426663055
ACH-000607	1	-0.3381039072136163	-2.2825632441293555
ACH-000608	0	-0.37738168404055766	-2.603074794076451
ACH-000609	0	-0.184081383476904	-2.7648839034914245
ACH-000614	0	-0.4653264402821047	-1.855962831780667
ACH-000616	0	-0.1217446165834678	-2.4561504866361226
ACH-000618	0	-0.7993947959851762	-2.7209167538982384
ACH-000619	0	-0.12141465373868604	-2.789280024573934
ACH-000620	0	-0.3123219626946747	-1.822667761103408
ACH-000621	0	-0.9049590783159924	-2.1533677304532333
ACH-000622	0	-0.16896639227338572	-2.6626369315358214
ACH-000623	0	-0.2965272690700165	-2.101061209211521
ACH-000624	0	-0.8649162277328516	-2.742608384048175
ACH-000627	0	-0.15660848559939594	-2.4763470750729613
ACH-000630	0	-0.14771094326822626	-2.320349442969763
ACH-000631	0	-0.6169891647919223	-2.820416352677276
ACH-000632	0	-0.11784683917868854	-2.2969959454045825
ACH-000633	0	-0.06187564888191305	-1.9300559223711664
ACH-000634	0	-0.10548010331890417	-2.6071515965682157
ACH-000637	0	-0.08516141813700923	-2.384665325305836
ACH-000638	0	-0.5763426135287142	-2.5533980198568873
ACH-000639	0	-1.3156505680883184	-2.3934890968152343
ACH-000645	0	-0.22083973383074457	-2.8952030731308076
ACH-000646	0	-0.6307544487330929	-1.9243812846074886
ACH-000647	0	-0.5719724408838028	-2.4966790166944164
ACH-000648	0	-0.3275803416198838	-2.3934827685154256
ACH-000649	0	-0.20101348740249186	-2.266208970540945
ACH-000651	0	-0.4493379312227991	-2.1175327958979926
ACH-000652	0	-0.4619218623937069	-2.2420485930619574
ACH-000653	0	-1.1070398255043377	-2.344627213902043
ACH-000654	0	-1.069101175622796	-2.6250965134661173
ACH-000655	0	-0.10099267379508453	-2.7432235246404133
ACH-000656	0	-2.2327478622275856	-3.823563790327332
ACH-000657	0	-0.24455978095460812	-2.2740562285369386
ACH-000660	0	-1.25022490809464	-2.1216641330614583
ACH-000661	0	-0.3111703844320245	-2.102412343267964
ACH-000662	0	-0.27047320197729374	-2.602241623197516
ACH-000663	0	-0.2028598824143346	-1.7412898594208484
ACH-000664	0	-1.0100419608595228	-2.8406116686125493
ACH-000665	0	-0.19602805994417785	-2.931992751330562
ACH-000666	0	-0.6887242829161648	-3.2147388568540043
ACH-000667	0	-0.1076465841538774	-2.4989431178918737
ACH-000668	0	-0.7477123827078792	-2.101022454528002
ACH-000671	0	0.012294297293245382	-2.0480991546996914
